FUND NAME,SHARE CLASS,ISIN,INCEPTION DATE,AUM,AS OF DATE,MORNINGSTAR,SFDR ARTICLE CLASSIFICATION,ASSET CLASS
All-China Focus Equity Fund,USD S Acc,IE00BK5STN43, 08/01/2020 ,USD 132.14 M, 21/02/2024 ,3.0,Article 8,Alternative
All-China Focus Equity Fund,USD N Acc,IE00BK5STQ73, 08/01/2020 ,USD 132.14 M, 21/02/2024 ,3.0,Article 8,Multi-Asset
All-China Focus Equity Fund,GBP N Acc,IE00BK5STR80, 08/01/2020 ,USD 132.14 M, 21/02/2024 ,3.0,Article 8,Equity
Asia Credit Income Fund,USD N M4 Dist,LU2585198091, 15/03/2023 ,USD 27.45 M, 21/02/2024 ,,Article 8,Alternative
Asia Credit Income Fund,USD S M4 Dist,LU2585197952, 15/03/2023 ,USD 27.45 M, 21/02/2024 ,,Article 8,Alternative
Asia Quality Income Fund,USD N M4 Dist,LU2636597754, 16/08/2023 ,USD 1.35 M, 21/02/2024 ,,Article 8,Multi-Asset
Asia Quality Income Fund,USD S M4 Dist,LU2636598307, 16/08/2023 ,USD 1.35 M, 21/02/2024 ,,Article 8,Equity
Asia Technology Fund,USD N Acc,LU1751346971, 14/03/2018 ,USD 303.48 M, 21/02/2024 ,3.0,Article 8,Equity
Asia Technology Fund,GBP N Acc Hdg,LU1804833223, 16/05/2018 ,USD 303.48 M, 21/02/2024 ,,Article 8,Alternative
Asia Technology Fund,GBP N Acc,LU1912699698, 09/01/2019 ,USD 303.48 M, 21/02/2024 ,3.0,Article 8,Fixed Income
Asia Technology Fund,USD S Acc,LU1751457539, 14/03/2018 ,USD 303.48 M, 21/02/2024 ,3.0,Article 8,Alternative
Asian Opportunities Fund,USD S Acc,LU0564044146, 20/12/2010 ,USD 247.92 M, 21/02/2024 ,4.0,Article 8,Alternative
Asian Opportunities Fund,USD N Acc,LU1854458871, 23/07/2018 ,USD 247.92 M, 21/02/2024 ,4.0,Article 8,Alternative
Asian Opportunities Fund,GBP N Acc,LU1912699425, 09/01/2019 ,USD 247.92 M, 21/02/2024 ,4.0,Article 8,Alternative
Asian Opportunities Fund,EUR S Acc,LU2057310836, 19/02/2020 ,USD 247.92 M, 21/02/2024 ,3.0,Article 8,Multi-Asset
Blended Opportunistic Emerging Markets Debt Fund,GBP S Acc Hdg,IE00BKKJHY94, 12/09/2019 ,USD 1.09 B, 21/02/2024 ,,Article 8,Equity
Blended Opportunistic Emerging Markets Debt Fund,GBP N Acc Hdg,IE00BJ09MS11, 01/04/2019 ,USD 1.09 B, 21/02/2024 ,,Article 8,Multi-Asset
Blended Opportunistic Emerging Markets Debt Fund,USD N Acc,IE00BH3Q5646, 01/04/2019 ,USD 1.09 B, 21/02/2024 ,3.0,Article 8,Multi-Asset
